NOME;CONCESSION;ANO_OPERA;TENSAO;LONGITUDE;LATITUDE;CD_MUN;CPU
SE Garibaldi 1;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Gentio do Ouro II;TJMME - TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.;2018;500/230;0;0;
SE Gerdau SP;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;2005;440/33/13,8;0;0;
SE Getulina;IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A;2011;440/138;0;0;
SE Gilbués II;ATEXVI - ATE XVI TRANSMISSORA DE ENERGIA SA;2017;500/230/69;0;0;
SE Governador Mangabeira;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Governador Valadares 2;CEMIG - Companhia Energética de Minas Gerais;1989;230/138/13,8;0;0;
SE Grajaú;FURNAS - Furnas Centrais Elétricas S.A.;1987;500/138;0;0;
SE Gralha Azul;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;-;230;0;0;
SE Gravataí 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69/23;0;0;
SE Gravataí 3;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2007;230/69;0;0;
SE Guaíba 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Guaíra;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;1984;230/138/34,5;0;0;
SE Guamá;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/69;0;0;
SE Guarulhos;FURNAS - Furnas Centrais Elétricas S.A.;1963;345;0;0;
SE Guilman-Amorim;GUILMAN/AMORI - Consórcio GUILMAN/AMORIM;1997;230/13,8;0;0;
SE Gurupi;FURNAS - Furnas Centrais Elétricas S.A.;1999;500;0;0;
SE Henry Borden;EMAE - Empresa Metropolitana de Águas e Energia S.A;1956;230/13,8;0;0;
SE Ibicoara;TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A;2003;500/230/138;0;0;
SE Ibiporã;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;-;230/138/34,5;0;0;
SE Ibiúna;FURNAS - Furnas Centrais Elétricas S.A.;1984;600/500/345/20;0;0;
SE Icó;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Igaporã III;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2015;500/230;0;0;
SE UHE Ilha Solteira;RPE - RIO PARANÁ ENERGIA;1973;440/138/14,4/13,8;0;0;
SE Integradora;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;2008;230;0;0;
SE Interlagos;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;345/230;0;0;
SE Ipatinga 1;CEMIG - Companhia Energética de Minas Gerais;1971;230/13,8;0;0;
SE Irapé;TRANSLESTE - COMPANHIA TRANSLESTE DE TRANSMISSÃO;2005;345/230;0;0;
SE Irecê;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138/69/13,8;0;0;
SE Itá;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525;0;0;
SE Itabaiana;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Itaberá;FURNAS - Furnas Centrais Elétricas S.A.;1982;765;0;0;
SE Itabira 2;CEMIG - Companhia Energética de Minas Gerais;-;230/69/13,8;0;0;
SE Itabira 4;CEMIG - Companhia Energética de Minas Gerais;2013;230;0;0;
SE Itabira 5;MANTIQUEIRA TRANSMIS - MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.;2022;500/230;0;0;
SE Ouro Preto 2;CEMIG - Companhia Energética de Minas Gerais;1988;500/345/138;0;0;
SE Itabirito 2;MONTES CLAROS - LINHAS DE TRANSMISSAO DE MONTES CLAROS LTDA;2014;500/345;0;0;
SE Itacaiúnas;ATE III - ATE III TRANSMISSORA DE ENERGIA S.A.;2008;500/230;0;0;
SE Itajaí;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2002;230/138;0;0;
SE Itajubá 3;CEMIG - Companhia Energética de Minas Gerais;2002;500/138;0;0;
SE Itapaci;CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A;-;230/69;0;0;
SE Itapeti;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;345/230/88/13,8;0;0;
SE Itararé II;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/138;0;0;
SE Itatiba;TRANSENERGIA SP - Transenergia São Paulo S.A.;2012;500/138;0;0;
SE Itaúba;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;1978;230/13,8;0;0;
SE Itiquira;ITIQUIRA - Itiquira Energética S/A;2002;230/13,8;0;0;
SE Itumbiara;FURNAS - Furnas Centrais Elétricas S.A.;1980;500/345/230;0;0;
SE Itutinga;FURNAS - Furnas Centrais Elétricas S.A;1967;345;0;0;
SE Ivaiporã;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525;0;0;
SE Ivaiporã;FURNAS - Furnas Centrais Elétricas S.A.;1982;765;0;0;
SE Ivinhema 2;BRILHANTE - Brilhante Transmissora de Energia Ltda;2011;230/138;0;0;
SE Jacaracanga;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Jacarepaguá;FURNAS - Furnas Centrais Elétricas S.A.;1967;345/138;0;0;
SE Jaguara;CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A;-;500/345;0;0;
SE Jaguariaíva;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;1993;230/138/69/34,5;0;0;
SE Janaúba 3;MANTIQUEIRA TRANSMIS - MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.;2020;500/230;0;0;
SE Jandira;IESJ - Interligação Elétrica Serra do Japi S.A.;2012;440/88;0;0;
SE Jardim;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;500/230/69;0;0;
SE Jaru;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/69;0;0;
SE Jataí;TRANSENER RENOVAVEL - Transenergia Renovável S.A.;2012;230/138;0;0;
SE Jauru;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;2003;500/230/138;0;0;
