NOME;PROPRIET;POTENCIA;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Nova Olinda 9;100% para Nova Olinda Norte Solar S.A. (PIE);30000;20171209;UFV.RS.PI.033128-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Arinos 11;100% para Usina Fotovoltaica Arinos E 11 Ltda. (PIE);46870;20240430;UFV.RS.MG.047307-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Fontes Solar II;100% para ENEL SOLUÇÕES ENERGÉTICAS LTDA (REG);5000;20150908;UFV.RS.PE.032373-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sertão Solar Barreiras XVII;100% para SERTAO SOLAR BARREIRAS XVII S.A. (PIE);50000;20240710;UFV.RS.BA.044513-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Gonçalo 1;100% para Enel Green Power São Gonçalo 1 S.A. (PIE);45680;20200222;UFV.RS.PI.033841-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC XVI;100% para VALE S.A. (PIE);39496;20230420;UFV.RS.MG.037627-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Dunamis III;100% para Dunamis Projetos De Energia Fotovoltaica SPE LTDA. (PIE);29385;;UFV.RS.RN.045018-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lar do Sol 10 (Antiga Leo Silveira 10);100% para Usina de Energia Fotovoltaica Lar do Sol V S.A. (PIE);49500;20220928;UFV.RS.MG.037839-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Brígida;100% para BRIGIDA SOLAR SPE LTDA (PIE);31500;20210626;UFV.RS.PE.034169-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Paracatu 2;100% para ENGIE SOLAR PARACATU II GERAÇÃO CENTRALIZADA SPE S.A. (PIE);33000;20190209;UFV.RS.MG.034000-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
