NOME;LEILAO;ANO_PREV;CEG;POTENCIA;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Santa Luzia 19;ANEEL;2026;UFV.RS.PB.050868-3.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 20;ANEEL;2026;UFV.RS.PB.050869-1.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 6;ANEEL;2025;UFV.RS.PB.049690-1.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 8;ANEEL;2025;UFV.RS.PB.049692-8.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia XXVI;37º LEN;2027;UFV.RS.PB.055553-3.01;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia XXVII;37º LEN;2027;UFV.RS.PB.055554-1.01;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Francisco I;ANEEL;2025;UFV.RS.MG.054447-7.01;49993;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Francisco II;ANEEL;2025;UFV.RS.MG.054448-5.01;49993;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Francisco III;ANEEL;2025;UFV.RS.MG.054449-3.01;49993;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serrita I (Antigo Enercom Serrita I);ANEEL;2025;UFV.RS.PE.046963-7.1;30000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serrita II (Antiga Enercom Serrita II);ANEEL;2025;UFV.RS.PE.046964-5.1;30000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Solar Irecê;ANEEL;2025;UFV.RS.BA.037517-9.1;73600;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Solar Irecê 3;ANEEL;2025;UFV.RS.BA.037518-7.1;59800;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre I;ANEEL;2025;UFV.RS.MG.046553-4.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre II;ANEEL;2025;UFV.RS.MG.046554-2.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre III;ANEEL;2025;UFV.RS.MG.046555-0.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre IV;ANEEL;2025;UFV.RS.MG.046556-9.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre IX;ANEEL;2025;UFV.RS.MG.046561-5.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre V;ANEEL;2025;UFV.RS.MG.046557-7.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre VI;ANEEL;2025;UFV.RS.MG.046558-5.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre VII;ANEEL;2025;UFV.RS.MG.046559-3.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre VIII;ANEEL;2025;UFV.RS.MG.046560-7.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre X;ANEEL;2025;UFV.RS.MG.046562-3.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre XI;ANEEL;2025;UFV.RS.MG.049655-3.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre XII;ANEEL;2025;UFV.RS.MG.049656-1.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre XIII;ANEEL;2025;UFV.RS.MG.049657-0.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre XIV;ANEEL;2025;UFV.RS.MG.049658-8.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vista Alegre XV;ANEEL;2025;UFV.RS.MG.049659-6.01;41173;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
